date,description,amount,category
2026-07-01,Salary Nova Analytics Pvt Ltd,80000,
2026-07-02,Apartment Rent,-22000,
2026-07-03,BigBasket Grocery,-3250,
2026-07-04,Airtel Fiber,-1199,
2026-07-05,Uber Trip,-460,
2026-07-06,Swiggy Order,-780,
2026-07-08,Electricity Bill,-2100,
2026-07-09,Amazon India,-4200,
2026-07-10,Metro Card Recharge,-1000,
2026-07-11,Netflix,-649,
2026-07-12,Cafe Coffee Day,-420,
2026-07-14,Apollo Pharmacy,-1380,
2026-07-15,UPI Transfer to Savings,-7000,
2026-07-16,Swiggy Order,-920,
2026-07-18,Dmart Supermarket,-2850,
2026-07-19,Uber Trip,-510,
2026-07-20,Spotify,-119,
2026-07-22,Restaurant Dinner,-2600,
2026-07-24,Udemy Course,-899,
2026-07-25,Bank Service Fee,-250,
2026-07-27,Myntra Shopping,-3400,
2026-07-29,Interest Credit,310,
2026-08-01,Salary Nova Analytics Pvt Ltd,80000,
2026-08-02,Apartment Rent,-22000,
2026-08-03,BigBasket Grocery,-3540,
2026-08-04,Airtel Fiber,-1199,
2026-08-05,Uber Trip,-520,
2026-08-06,Swiggy Order,-1250,
2026-08-07,Electricity Bill,-2350,
2026-08-08,Amazon India,-8700,
2026-08-09,Metro Card Recharge,-1000,
2026-08-10,Netflix,-649,
2026-08-11,Cafe Coffee Day,-510,
2026-08-12,Apollo Pharmacy,-650,
2026-08-13,UPI Transfer to Savings,-7000,
2026-08-14,Swiggy Order,-980,
2026-08-16,Dmart Supermarket,-3100,
2026-08-17,Uber Trip,-620,
2026-08-18,Spotify,-119,
2026-08-19,Restaurant Dinner,-3900,
2026-08-20,IndiGo Flight,-12500,
2026-08-21,Hotel Booking,-7200,
2026-08-23,Bank Service Fee,-350,
2026-08-24,Myntra Shopping,-2800,
2026-08-26,Swiggy Order,-1150,
2026-08-27,Cashback Credit,450,
2026-08-28,Uber Trip,-580,
2026-08-30,Medical Clinic,-2200,
